age,funding_total_usd
2,0.0
4,0.0
5,100000.0
4,5000000.0
2,0.0
7,1613875.0
4,205000.0
1,0.0
3,375000.0
2,15000.0
4,0.0
6,0.0
4,0.0
3,3000000.0
3,0.0
2,138000.0
2,0.0
4,150000.0
2,21189.0
5,50000.0
6,12100000.0
6,0.0
2,0.0
2,0.0
0,0.0
7,200000.0
4,0.0
1,0.0
3,0.0
4,0.0
3,10500000.0
2,5000.0
2,0.0
1,0.0
4,6500000.0
5,0.0
2,0.0
5,2300000.0
1,0.0
2,0.0
5,800000.0
6,1500000.0
8,46400000.0
3,100000.0
14,0.0
5,2000000.0
7,9100000.0
10,891177.0
4,98000.0
6,1700000.0
6,4000000.0
6,12000000.0
2,30000.0
4,0.0
3,0.0
6,225000.0
5,7350000.0
2,4300000.0
5,50000.0
3,941288.0
1,450000.0
5,0.0
3,0.0
1,0.0
0,100000.0
4,0.0
11,50000000.0
3,0.0
4,0.0
3,0.0
8,915000.0
10,28000000.0
5,0.0
1,450000.0
2,500000.0
3,3750000.0
4,6850000.0
3,25000.0
5,20000.0
5,0.0
2,0.0
7,11015719.0
4,0.0
5,0.0
8,211403000.0
8,30000000.0
4,0.0
4,0.0
7,2192000.0
4,0.0
2,287033.0
3,630000.0
5,7516703.0
9,0.0
4,712000.0
1,0.0
4,60000.0
4,25000.0
1,0.0
3,0.0
2,167600.0
5,1204795.0
3,1300000.0
0,50000.0
1,0.0
7,1500000.0
7,1200000.0
5,0.0
9,45000000.0
1,0.0
4,25000.0
1,0.0
3,200000.0
6,3500000.0
2,150000.0
3,300000.0
7,0.0
7,3600000.0
2,550000.0
6,7000000.0
7,1700000.0
2,1000000.0
3,0.0
1,0.0
1,0.0
2,50000.0
4,290000.0
5,30926154.0
3,300000.0
9,0.0
7,0.0
7,3000000.0
3,1700000.0
3,0.0
4,650000.0
6,1000000.0
2,850000.0
4,2300000.0
4,3000000.0
9,100000.0
5,100000.0
2,8000000.0
1,0.0
4,0.0
13,6922000.0
3,4000000.0
3,650000.0
6,98064.0
4,500000.0
3,58511.0
4,860760.0
3,125000.0
3,30150000.0
5,2000000.0
2,0.0
8,12800000.0
1,65000.0
2,101463.0
2,60000.0
3,1175000.0
4,0.0
2,0.0
1,0.0
9,0.0
5,24300000.0
2,1500000.0
0,0.0
7,12000000.0
5,0.0
0,0.0
3,2500000.0
1,20660.0
1,5250000.0
6,800000.0
2,105000.0
2,0.0
1,100000.0
3,3100000.0
3,519311.0
2,25000.0
2,70000.0
1,2500.0
2,50000.0
3,1400000.0
5,0.0
5,1500000.0
3,0.0
2,0.0
1,0.0
4,750000.0
2,500000.0
6,626096.0
1,25000.0
5,20000.0
1,0.0
2,22500.0
1,0.0
1,0.0
2,60000.0
6,11035000.0
6,0.0
2,70000.0
2,1552.0
2,150000.0
2,100000.0
2,175916.0
2,1000000.0
5,125000.0
5,6000000.0
2,0.0
0,0.0
1,0.0
3,0.0
2,100000.0
8,23500000.0
2,2000000.0
8,300000.0
1,25000.0
4,2700000.0
1,150000.0
3,300000.0
5,10000.0
5,1000000.0
1,500000.0
0,0.0
1,30000.0
0,10000.0
2,0.0
0,0.0
1,0.0
1,0.0
7,800000.0
0,250000.0
1,0.0
4,15000.0
2,549970.0
2,350000.0
3,14402.0
2,100300.0
1,540000.0
1,100000.0
2,0.0
2,20000.0
1,0.0
2,350000.0
14,24200000.0
6,2700000.0
2,100000.0
3,0.0
2,0.0
1,0.0
6,5000000.0
2,20000.0
1,0.0
2,2750000.0
2,500000.0
1,0.0
2,0.0
2,25000.0
3,0.0
4,250000.0
2,4600000.0
11,0.0
3,4513712.0
5,12000000.0
1,0.0
3,0.0
3,4000000.0
0,452865.0
0,0.0
1,0.0
1,20000.0
4,10000.0
1,425000.0
2,0.0
2,5500000.0
0,40000.0
2,62500.0
1,0.0
4,0.0
1,100000.0
1,0.0
1,300000.0
1,150000.0
2,100000.0
0,10000.0
3,25000.0
1,0.0
3,250000.0
2,250000.0
3,0.0
8,23000000.0
1,0.0
1,20000.0
2,30000.0
4,2000000.0
2,600000.0
6,750000.0
1,15000.0
3,100000.0
1,19000.0
2,0.0
1,0.0
4,1500000.0
0,0.0
2,16090.0
2,500000.0
7,21138876.0
5,2624000.0
2,500000.0
6,12000000.0
2,50000.0
2,0.0
5,2000000.0
5,662000.0
1,0.0
0,20000.0
1,0.0
7,9500000.0
7,48000000.0
6,3170000.0
2,40331.0
2,1476100.0
1,0.0
2,1000000.0
9,2691807.0
13,627300.0
4,263400.0
1,0.0
1,60000.0
4,0.0
1,610000.0
1,0.0
2,1250000.0
6,12000000.0
4,1500000.0
0,0.0
10,33000000.0
2,35000.0
4,20000000.0
1,250000.0
0,0.0
1,12000.0
6,1400000.0
1,20000.0
1,0.0
6,20000000.0
1,5000000.0
9,10900000.0
3,6000000.0
3,0.0
1,0.0
6,33000000.0
2,15000.0
8,6400000.0
5,0.0
1,0.0
3,2020593.0
10,4476171.0
2,890000.0
4,0.0
1,100000.0
1,0.0
11,25500000.0
2,0.0
14,0.0
1,10000.0
2,500000.0
2,100000.0
1,100000.0
2,0.0
1,118000.0
8,2000000.0
1,0.0
7,12170000.0
1,0.0
1,16000.0
0,0.0
7,31500000.0
3,0.0
2,325000.0
4,1455000.0
6,14200000.0
9,49000000.0
2,600000.0
2,0.0
3,50000.0
1,211002.0
2,50000.0
1,0.0
1,500000.0
1,0.0
10,5700000.0
1,0.0
1,20118.0
1,1000000.0
0,0.0
0,25000.0
4,30000.0
6,1200000.0
1,1000000.0
4,50000.0
2,2000000.0
6,0.0
2,0.0
3,0.0
1,0.0
3,2300000.0
1,714250.0
1,20000.0
4,2189440.0
1,100000.0
0,0.0
1,25000.0
1,1500000.0
1,0.0
2,7500000.0
0,0.0
1,125000.0
3,2000000.0
1,200000.0
2,620000.0
4,20000000.0
10,5000000.0
1,0.0
2,0.0
2,40000.0
8,12000000.0
1,0.0
7,55900000.0
1,25000.0
5,7000000.0
20,6000000.0
1,11309.0
1,40000.0
9,79960000.0
4,7660000.0
4,0.0
3,6000000.0
3,500000.0
3,140000.0
5,15564591.0
4,0.0
7,7650000.0
2,800000.0
1,100000.0
3,126321.0
9,43000000.0
