degree_type,founder_count
!st Class Honors,1
"""Mini-MBA""",1
'A' Levels,1
'O' Levels,1
(2Years) UniversityLife,1
(B.A.J) Bachelor's of Art in Jou,1
(Hons) BSc.,1
(In Progress),1
"(MSc), Finance, General",1
(PHR) certification,1
"(Syracuse, NY)",1
(expected) 2014,1
(incomplete),1
", Information Technology",1
-,1
.,1
.5 MBA,1
1,2
1 Year Visiting Student,1
1 year diploma,1
1-4 Grade,1
1-Year Program,1
1. Fed. Exams,1
1. Staatsexamen,1
1/2 MBA,1
10,1
12th,1
12th Std,1
13 A-C GCSE's,1
14N1,1
18c,1
1990 to 1993,1
1:1 First Class Honors,1
1st BSc,1
1st BSc (Hons),1
1st Class,1
1st Class BA Honours Degree,1
1st Class BA Hons,2
1st Class BSc Hons,1
1st Class Honours,5
1st Class Hons,1
1st Class Hons Chemical Engineer,1
1st Class MEng,1
2 BSc's,1
2 year diploma,1
2 years College,1
2-term exchange,1
2. Fed. Exams,1
2. Staatsexamen,1
2.1,2
2.1 BA Honours,1
2.1 BA Hons,1
2.1 Ba Hons,1
2.2,2
2004,1
2008,1
2008 MBA,1
2012-2013,1
2013,1
2:1,6
2:1 BA (Hons),2
2:1 BA(Hons),1
2:1 BSC Hons,1
2:1 Business,1
2:1 MEng,1
2:2,1
2D Design,1
2nd Degree,1
2nd Upper Class (hons),1
2nd class honours,1
2yr Certification,1
3 eme cycle Banque et Finance DE,1
3 years,1
3 years Polytechnic Diploma,1
3 yr Diploma,1
3 yrs in PHD program,1
3.00,1
360,2
3yr diploma,1
4,2
4 A levels,1
4 year Bachelor of Science,1
4 year MEng,1
4-year Course,1
4th European level,1
5 Year Degree,1
5 year College degree (BSc),1
5 year Integrated B.Tech/M.Tech,1
5 year Master's Degree,1
5 year degree ( Master ),1
5 year diploma,1
5 year dual major Bachelor Degre,1
5 years,2
5 years Faculty,1
5 years degree,3
5 years university degree,1
5-7 Grade,1
5-year degree,1
5-years Diploma,1
60 HE,1
6th Year Professional,1
7,1
8-12 Grade,1
8th Degree,1
"??, ??",1
???,1
A Level,3
A Levels,5
A levels,1
A+,1
A-Level,2
A-Levels,1
A-levels,1
A. B. summa cum laude,1
A.A. & A.S.,1
A.A. in Accounting and a B.S. in,1
"A.A., General Ed.",1
A.A.S. Photography Technology,1
A.B,3
A.B.,7
A.B. (Honors),2
A.B. Honors,1
A.B. Magna Cum Laude,2
A.B. and M.D.,1
A.B. cum laude,1
A.B. degree,2
A.B. honors,1
A.B. magna cum laude,1
A.B. or Bachelor of arts,1
"A.B., & B.E",1
"A.B., Biology",1
"A.B., Int'l Relations, Economics",1
"A.B., Magna cum laude, Phi Beta ",1
"A.B., Politics",1
"A.B., magna cum laude",1
A.I.M. Graduate,1
A.M,1
A.M.,5
A.M.L.S,1
A.M.R.S.,1
A.S.,1
A1,1
AA,107
AA/BS,1
AAA,1
AAB,1
AABIS,1
AAS,46
AAS Degree,1
AAS-Grad,1
AAUCT,1
AB,11
AB (magna cum laude),1
AB Degree,1
AB and BBA,1
AB cum laude,1
AB magna cum laude,1
AB with Honors,1
AB with Honors and Distinction,1
"AB, Economics",1
"AB, Engineering, Economics",1
"AB, Magna Cum Laude",1
"AB, US History, CS, Psychology",1
"AB, magna cum laude",2
AB/SM,2
ABA,1
ABC Diploma,1
ABD,7
ABJ,1
AC,1
ACA,19
"ACA, Accounting",1
ACA/FCA,1
ACCA,5
ACCP,1
ACE,1
ACLA (Auto Claims Law Associate),1
ACMA,2
"ACMA, Chartered Management Accou",1
ACMI,1
ACSI,1
AD,1
ADE Lic&Master,1
ADIM,1
ADN,1
ADP 56,1
ADV Diploma,1
AEA/Stanford Executive Program,1
AEC,1
AEMP,1
AFA,1
AI,1
AICWA,1
AISSCE,4
AISSE,1
ALM,3
AM,8
AM and PhD,1
AMCT,2
AMIE,1
AMIE(BE),1
AMP,19
AMP 11,1
AMP/ISMP,1
AMP/MBA,1
AMPM,1
AOS,3
AP,3
APC,1
APC (MS),1
APMP,1
ARU,1
AS,140
AS & A Level's,1
"AS, BS, MBA,",1
ASC,1
ASME,1
ASc,1
Abitur,2
Abogado / Attorney,1
"Abogado, Derecho",1
Academic,2
Academic Degree,1
Academic degree,1
Academy Economist,1
Accelerated Development Programm,1
Accelerator,1
Account Hons.,1
Accountancy,2
Accountant,1
Accounting,2
Accounting & Finance,1
Accounting Certificate,1
Accounting Extension,1
Accounting and Finance,2
Accounting degree,1
Accounting/Finance,1
Acountancy,1
Actuaries,1
Actuary,1
Ad Design,1
AdeCaP,1
Adjunct Fellow,1
Administrador,1
"Administrador de Empresas, Econó",1
Administrador de empresas,1
Administration,1
Administrative Asst,1
Admission,1
Advance Diploma in Computer Soft,1
Advanced Bachelor of Science deg,1
Advanced Certificate,1
Advanced Certificate for Executi,1
Advanced Computer Science,1
Advanced Degree,1
Advanced Degrees,1
Advanced Diploma,12
Advanced Diploma in Computer App,1
Advanced Diploma in Software Eng,1
Advanced Diploma in Sound,1
Advanced Executive Education Pro,1
Advanced Executive Management Pr,1
Advanced Executive Program,1
Advanced Graphic Design Diploma,1
Advanced Industrial Marketing Se,1
Advanced MBA,1
Advanced Management,1
Advanced Management Certificate,1
Advanced Management Degree,1
Advanced Management Program,13
Advanced Management Programme,5
Advanced Management Programs,1
Advanced Master's Degree,1
Advanced Master's Dual Degree,1
Advanced Masters degree in Compu,1
Advanced Project Management,1
Advertising,5
"Advertising, Marketing and Strat",1
Aeronautical Engineering,1
Aeronautical engineering,1
Aerospace,1
Aerospace Engineering,1
"African Studies, Middle Eastern ",1
AgriBusiness,1
Agribusiness Leadership Plus,1
Agriculture and Veterinary Medic,1
Airway Science,1
Akademiøkonom,1
Ambassador,1
"Amherst, & B.Tech (Honors)",1
Analyst,1
Analyst Developer,1
Analytics,1
Anthropology,2
"Appleton, Wisconsin, with Bachel",1
Application Developer,1
Applied BSc,1
Applied Economics,1
Applied License,1
Applied Mathematics & Economics,1
Applied Science,2
Applied Science (Computer Scienc,1
Apprenticeship at Robotic,1
Arabic,1
Architecte DPLG,1
Architecture and Planning,1
Architetto,1
Arquitecto Superior,1
Arquitectura,1
Array Processing,1
Art,3
Art & Design,1
Art and Engineering,1
Artium Baccalaureus,1
Arts,2
Arts Degree,1
Arts and Sciences,2
Arts degree,1
"Arts,",1
"Asistente al programa, Marketing",1
Asoociates of Arts,1
Ass.Dip.App. Science,1
Asscociates,1
Assistant Professor,1
Assistent Programmer,2
Associate,15
Associate Arts,1
Associate Arts Degree,1
Associate Degree,11
Associate Degree (4 years study),1
Associate Engineer,1
Associate Fellow,1
Associate Professor,1
Associate degree,1
Associate in Applied Science,1
Associate in Applied Science Deg,1
Associate in Arts,1
Associate in Science,2
"Associate in Science Degree, Gra",1
Associate of  Arts,1
Associate of Applied Science,5
Associate of Applied Sciences,1
Associate of Art,1
Associate of Arts,14
Associate of Arts (A.A.,1
Associate of Arts (A.A.),5
Associate of Arts (AA),1
Associate of Arts Degree,1
Associate of Arts and Sciences (,5
"Associate of Arts, General",1
Associate of Irish Taxation Inst,1
Associate of Marketing,1
Associate of Science,10
Associate of Science (A.S.,1
Associate of Science (A.S.),4
Associate of Science (AS),3
Associate's degre,1
Associate's degree,1
Associate's of Applied Science,1
Associated Degree,1
Associates,1
Associates In Applied Science,1
"Associates degree & logistics,  ",1
Associates in Applied Sciences,1
Associates in Art,2
Associates in Arts,2
Associates in Science,2
Associates in Specialized Techno,1
Associates of Applied Science,3
Associates of Arts,3
Associates of Communications,1
Associates of Science,4
Associates of Sciences,1
Associateship,2
Associates Degree,2
Association of Arts,1
Assoiates,1
Attorney,1
Audio Engineering,1
Audit Controle de Gestion,1
"Aviation, Business & Administrat",1
Avionics Engineering,1
B,1
B - Level,1
"B A, P G Diploma in Journalism",1
B App Sc (Hons),1
"B App. Sci, LLB",1
B Arch,1
B Com (exchange student),1
B Comm (Hons) / LLB (Hons),1
B Commerce,1
B Comp Sci,1
B Corp Law; LLB,1
B Ec,1
B Elec,1
"B Eng Hons, Mechanical Engineeri",1
B Math,1
B Pharm,1
"B Pharmacy, (Hons)",1
B Sc (MA Sc),1
B Sc Economics,1
"B Sc, PCM",1
"B Sc. (Econ), Economics, Account",1
B Sci,1
B Science,1
B Tech,1
"B Tech, EE and CS",1
B of A,2
B of Eng,1
B'Ed Hons,1
"B, E. Computer & Science Enginee",1
B-Tech & M-Tech,1
B-Tech Mechanical,1
B.,1
B. Admin,1
B. Arch,3
B. Arch.,1
B. Bible,1
B. Business,2
B. ChE.,1
B. Commerce,4
B. Comp. Sc,1
B. Des,1
B. Design,1
B. Econ,1
B. Econ.,1
B. Eng,1
"B. Eng, Electrical Engineering",1
B. Eng. & Mgt.,1
B. Eng. 2(ii),1
B. Engg,1
B. Engg.,1
B. Engineering,1
B. Engrg,1
B. Math,1
B. Math (Hon.),1
B. Math (Honors),1
B. Proc,1
B. Sc. in Computer Science and E,1
B. Sc. in Engr,1
B. Sc.with Honors,1
B. Sci,2
B. Tech & M. Tech,1
B. Tech (Hons),1
B. of Fine Arts,1
B.A,19
B.A & P.A,1
B.A (with Honors),1
B.A Business Economics,1
B.A Criminal Justice,1
B.A MARKETING,1
B.A Psychology,1
B.A and M.B.A.,1
"B.A, Graduation Honors; Academic",1
B.A.,41
B.A. & B.Mus.,1
B.A. & M.A.,2
B.A. (Cum Laude),2
B.A. (Honors),2
B.A. (Hons) - First Class,1
"B.A. (Hons.), English",1
"B.A. (Mod), Economics",1
B.A. (Mod.),1
B.A. (Mod.) Comp. Sci.,1
B.A. (Phi Beta Kappa),1
B.A. (Summa Cum Laude),2
B.A. (incomplete),1
B.A. (summa cum laude),2
"B.A. (summa cum laude, Phi Beta ",1
"B.A. , Graduate Cum Laude",1
"B.A. , Summa Cum Laude",1
B.A. - High Honors,1
B.A. - Phi Beta Kappa,1
B.A. / A.A.,1
"B.A. / B.S., Finance / Molecular",1
B.A. / M.A.,1
B.A. Accounting,1
B.A. Arts,1
B.A. Business,1
B.A. Business Administration,2
"B.A. Business Administration, Ma",1
B.A. Cum Laude,1
B.A. Double Major,1
B.A. Eauivilant,1
B.A. Equivilant,1
B.A. Honours,1
"B.A. Honours, first class averag",1
B.A. Hons (Distinction) & M.A.,1
B.A. Humanities,2
B.A. International Relations,1
B.A. International Relations (Gl,1
B.A. Joint Honours,1
