id,entity_type,name,normalized_name,category_code,status,founded_at,closed_at,investment_rounds,invested_companies,funding_rounds,funding_total_usd,milestones,relationships
c:10012,Company,moviestring.com,moviestring,games_video,closed,2008-08-22,2010-01-01,0,0,0,0.0,0,1
c:1006,Company,Youlicit,youlicit,web,closed,2006-09-01,2010-05-22,0,0,1,0.0,0,5
c:10092,Company,FairSoftware,fairsoftware,web,closed,2007-01-01,2012-07-24,0,0,1,100000.0,1,1
c:101,Company,SellABand,sellaband,games_video,closed,2006-08-01,2010-02-23,0,0,1,5000000.0,5,3
c:10104,Company,Galaxy,galaxy,software,closed,2008-06-01,2010-07-01,0,0,0,0.0,1,2
c:10116,Company,HammerKit,hammerkit,web,closed,2006-11-30,2013-09-01,0,0,1,1613875.0,0,3
c:10153,Company,"ITOG, Inc.",itog,network_hosting,closed,2006-09-19,2010-04-16,0,0,1,205000.0,0,1
c:10154,Company,PicMe,picme,software,closed,2008-01-01,2009-08-14,0,0,0,0.0,0,1
c:10175,Company,My Best Interest,my best interest,software,closed,2006-11-05,2009-04-30,0,0,1,375000.0,0,3
c:101859,Company,FaceTags,facetags,photo_video,closed,2011-05-15,2013-02-01,0,0,1,15000.0,0,1
c:10194,Company,BragThis.com,bragthis,games_video,closed,2008-06-23,2012-05-12,0,0,1,0.0,0,1
c:1021,Company,Mixaloo,mixaloo,games_video,closed,2007-02-01,2013-01-20,0,0,1,0.0,2,2
c:1022,Company,Zipidee,zipidee,ecommerce,closed,2007-02-01,2011-02-10,0,0,1,0.0,3,1
c:102413,Company,gopogo,gopogo,social,closed,2009-11-17,2012-01-01,0,0,1,3000000.0,0,2
c:102898,Company,Tasted Menu,tasted menu,hospitality,closed,2009-01-01,2012-12-31,0,0,1,0.0,1,3
c:102922,Company,easyOwn.it,easyown it,ecommerce,closed,2011-04-10,2013-05-01,0,0,1,138000.0,2,7
c:102933,Company,mobintent,mobintent,advertising,closed,2010-08-01,2012-03-07,0,0,1,0.0,0,0
c:10308,Company,Klatcher,klatcher,web,closed,2008-07-10,2012-04-08,0,0,1,150000.0,1,1
c:103204,Company,PlayerDuel,playerduel,mobile,closed,2011-01-01,2013-05-01,0,0,2,21189.0,1,2
c:10378,Company,artandseek,artandseek,other,closed,2007-06-27,2012-01-01,0,0,1,50000.0,0,2
c:10398,Company,Picateers,picateers,web,closed,2005-01-01,2011-11-01,0,0,2,12100000.0,1,10
c:10407,Company,Linkua,linkua,games_video,closed,2007-02-07,2013-08-21,0,0,1,0.0,0,0
c:104481,Company,iyiyes,iyiyes,search,closed,2011-07-20,2013-12-01,0,0,0,0.0,0,0
c:104788,Company,Shoes4you,shoes4you,ecommerce,closed,2011-06-01,2013-04-19,0,0,1,0.0,1,5
c:104846,Company,Peers,peers,web,closed,2011-09-01,2011-01-01,0,0,0,0.0,0,0
c:1049,Company,Confabb,confabb,web,closed,2006-06-01,2013-03-24,0,0,1,200000.0,1,3
c:105004,Company,iSuggest,isuggest,mobile,closed,2008-11-01,2012-01-01,0,0,0,0.0,0,0
c:105005,Company,Rundown,rundown,web,closed,2011-01-01,2012-06-01,0,0,1,0.0,0,4
c:10519,Company,Divvy Systems,divvy systems,web,closed,2007-04-02,2010-01-01,0,0,0,0.0,2,2
c:10547,Company,SimpleLeap Software,simpleleap software,software,closed,2008-01-01,2012-01-01,0,0,0,0.0,0,3
c:10610,Company,Geodelic Systems,geodelic systems,mobile,closed,2008-01-01,2011-01-01,0,0,3,10500000.0,3,8
c:106349,Company,Wabeebwa,wabeebwa,web,closed,2011-08-17,2013-04-01,0,0,1,5000.0,1,3
c:10637,Company,iFavr,ifavr,other,closed,2008-01-01,2010-01-01,0,0,0,0.0,0,1
c:10640,Company,Valid,valid,web,closed,2008-01-01,2009-02-01,0,0,0,0.0,0,3
c:10643,Company,Fusion Garage,fusion garage,hardware,closed,2008-01-01,2012-01-01,0,0,1,6500000.0,1,1
c:10684,Company,Gruvie,gruvie,network_hosting,closed,2007-01-01,2012-09-08,0,0,1,0.0,0,0
c:1074,Company,Slush Pile Reader,slush pile reader,web,closed,2009-10-15,2011-01-01,0,0,0,0.0,0,1
c:10751,Company,Pixelpipe,pixelpipe,mobile,closed,2008-01-01,2013-08-02,0,0,2,2300000.0,3,4
c:10772,Company,Status,status,web,closed,2008-08-26,2009-07-01,0,0,0,0.0,1,0
c:10807,Company,cmypitch,cmypitch,network_hosting,closed,2008-06-20,2010-01-01,0,0,0,0.0,0,2
c:10857,Company,Getfugu,getfugu,software,closed,2007-01-01,2012-06-27,0,0,1,800000.0,2,3
c:10873,Company,The Society,the society,web,closed,2007-01-01,2013-04-12,0,0,2,1500000.0,0,3
c:10913,Company,ConSentry Networks,consentry networks,network_hosting,closed,2003-06-01,2011-09-02,0,0,3,46400000.0,1,11
c:10923,Company,For Art's Sake Media,for arts sake media,web,closed,2007-10-01,2010-11-19,0,0,1,100000.0,0,2
c:10930,Company,Telera,telera,software,closed,1998-08-01,2012-05-31,0,0,4,0.0,1,13
c:10956,Company,Metranome,metranome,mobile,closed,2007-01-01,2012-03-01,0,0,1,2000000.0,0,0
c:10969,Company,Semantra,semantra,software,closed,2003-01-01,2010-04-25,0,0,3,9100000.0,0,0
c:11033,Company,Qpyn,qpyn,mobile,closed,2003-01-01,2013-06-14,0,0,1,891177.0,0,6
c:11065,Company,DirectMoney,directmoney,public_relations,closed,2006-12-20,2010-08-15,0,0,1,98000.0,0,2
c:11073,Company,Ziva Software,ziva software,mobile,closed,2005-01-01,2011-12-17,0,0,1,1700000.0,0,1
c:112,Company,Zlio,zlio,ecommerce,closed,2005-11-01,2011-09-20,0,0,1,4000000.0,4,1
c:1120,Company,Buzzwire,buzzwire,mobile,closed,2007-07-01,2013-01-01,0,0,2,12000000.0,1,5
c:112052,Company,Klosetshop,klosetshop,ecommerce,closed,2011-05-15,2013-06-01,0,0,1,30000.0,0,0
c:1127,Company,YowTRIP,yowtrip,web,closed,2007-09-01,2011-01-01,0,0,0,0.0,4,0
c:11279,Company,Vertica Systems,vertica systems,software,acquired,2005-01-01,2013-09-17,0,0,3,30500000.0,3,20
c:11291,Company,Linkbee,linkbee,web,closed,2008-05-01,2011-01-31,0,0,0,0.0,0,2
c:11332,Company,Club Scene Network,club scene network,games_video,closed,2004-02-10,2010-01-12,0,0,1,225000.0,0,5
c:11397,Company,B-Side Entertainment,b side entertainment,games_video,closed,2005-04-07,2010-03-01,0,0,2,7350000.0,3,8
c:114,Company,Jaiku,jaiku,mobile,acquired,2006-07-01,2012-01-15,0,0,0,0.0,3,2
c:1148,Company,Predictify,predictify,advertising,closed,2007-03-01,2009-08-01,0,0,1,4300000.0,3,4
c:11498,Company,WeAre.Us,weare us,advertising,closed,2007-12-01,2012-04-23,0,0,1,50000.0,2,7
c:1151,Company,United Dogs and Cats,united dogs and cats,web,closed,2007-01-01,2010-06-10,0,0,2,941288.0,3,4
c:116,Company,Spotplex,spotplex,web,closed,2007-02-01,2008-05-09,0,0,1,450000.0,0,2
c:11613,Company,EcoBuddiesâ¢ Interactive,ecobuddiesâ¢ interactive,other,closed,2007-10-01,2012-09-03,0,0,1,0.0,2,3
c:11623,Company,Videofropper,videofropper,games_video,closed,2007-09-19,2010-08-08,0,0,1,0.0,0,1
c:11628,Company,BuzzBuy,buzzbuy,ecommerce,closed,2008-08-10,2009-05-01,0,0,0,0.0,1,3
c:116428,Company,wesync.tv,wesync tv,mobile,closed,2011-08-23,2011-11-01,0,0,1,100000.0,0,0
c:11648,Company,Povo,povo,advertising,closed,2007-06-01,2011-11-04,0,0,1,0.0,0,2
c:11700,Company,GeoCities,geocities,network_hosting,acquired,1996-01-01,2009-10-26,0,0,4,40000000.0,3,13
c:1172,Company,InstantAction,instantaction,games_video,closed,1999-01-01,2010-11-12,0,0,1,50000000.0,3,7
c:1174,Company,Floobs,floobs,web,closed,2007-02-01,2010-01-21,0,0,0,0.0,1,3
c:11777,Company,FanPrice,fanprice,games_video,closed,2007-05-01,2011-12-01,0,0,0,0.0,0,4
c:117865,Company,The Luxury Club,the luxury club,fashion,closed,2010-01-01,2013-06-01,0,0,1,0.0,0,0
c:11806,Company,SDH Group,sdh group,other,closed,2003-01-02,2011-06-01,0,0,1,915000.0,1,6
c:11817,Company,MyShape,myshape,ecommerce,closed,2003-09-01,2013-04-01,0,0,4,28000000.0,2,3
c:11818,Company,FlameUp,flameup,network_hosting,closed,2008-09-29,2013-01-01,0,0,0,0.0,0,1
c:11820,Company,EyeSpot,eyespot,web,acquired,2005-01-01,2008-10-02,0,0,1,3700000.0,1,1
c:118418,Company,Bundle It,bundle it,web,closed,2011-03-02,2012-01-01,0,0,2,450000.0,1,1
c:118573,Company,interspireSubmit,interspiresubmit,advertising,closed,2010-04-01,2012-06-01,0,0,1,500000.0,0,0
c:11881,Company,One Season,one season,games_video,closed,2007-06-01,2010-07-22,0,0,2,3750000.0,1,2
c:1189,Company,Eurekster,eurekster,web,closed,2004-01-01,2008-05-22,0,0,2,6850000.0,2,5
c:119291,Company,Buscatucancha.com,buscatucancha,sports,closed,2010-11-26,2013-05-01,0,0,1,25000.0,1,3
c:11937,Company,Koala Databank,koala databank,network_hosting,closed,2006-01-01,2011-01-29,0,0,1,20000.0,0,2
c:11996,Company,Gossip Girls,gossip girls,other,closed,2003-01-01,2008-01-01,0,0,0,0.0,0,0
c:120,Company,TripUp,tripup,web,closed,2006-01-01,2008-03-01,0,0,0,0.0,3,2
c:1205,Company,Songbird,songbird,mobile,closed,2006-02-01,2013-06-28,0,0,3,11015719.0,4,27
c:12073,Company,Playcharts.com,playcharts,games_video,closed,2008-10-01,2012-01-01,0,0,0,0.0,0,0
c:12094,Company,Tailgate Technologies,tailgate technologies,advertising,closed,2007-07-01,2012-01-01,0,0,1,0.0,0,2
c:12099,Company,SolFocus,solfocus,cleantech,closed,2005-11-01,2013-01-01,0,0,8,211403000.0,2,6
c:1212,Company,GridNetworks,gridnetworks,network_hosting,closed,2004-01-01,2012-08-17,0,0,4,30000000.0,2,7
c:12170,Company,InterStilist Professionnel,interstilist professionnel,web,closed,2008-06-17,2012-01-01,0,0,0,0.0,0,0
c:12177,Company,TripShake,tripshake,web,closed,2008-06-23,2012-09-04,0,0,1,0.0,0,4
c:12179,Company,Vontoo,vontoo,public_relations,closed,2005-01-01,2012-10-31,0,0,2,2192000.0,3,10
c:12188,Company,Mybandstock,mybandstock,games_video,closed,2009-01-15,2013-07-01,0,0,1,0.0,1,4
c:122,Company,Fleck,fleck,web,closed,2006-11-01,2008-10-16,0,0,1,287033.0,7,2
c:12203,Company,Infima Technologies,infima technologies,network_hosting,closed,2006-04-24,2009-01-01,0,0,2,630000.0,0,4
c:12224,Company,DubMeNow,dubmenow,mobile,closed,2008-01-01,2013-06-01,0,0,4,7516703.0,3,5
c:12249,Company,Microsupply,microsupply,hardware,closed,2001-07-01,2010-01-01,0,0,0,0.0,0,0
c:1226,Company,fav.or.it,fav or it,web,closed,2007-08-01,2011-05-10,0,0,1,712000.0,3,2
c:12269,Company,Freebo,freebo,web,closed,2008-06-12,2009-01-01,0,0,0,0.0,0,0
c:12277,Company,Engineering Ideas,engineering ideas,consulting,closed,2008-05-14,2012-01-21,0,0,1,60000.0,0,4
c:123,Company,Coghead,coghead,web,acquired,2003-05-01,2009-02-18,0,0,2,11200000.0,0,1
c:12329,Company,Digital Dandelion,digital dandelion,web,closed,2008-10-01,2012-09-19,0,0,1,25000.0,5,4
c:12341,Company,Socialfly,socialfly,enterprise,closed,2008-08-01,2009-04-01,0,0,0,0.0,3,2
c:12347,Company,GoHoster,gohoster,web,closed,2007-02-14,2010-01-01,0,0,0,0.0,0,1
c:123614,Company,Kuponjo,kuponjo,advertising,closed,2010-04-06,2012-10-01,0,0,2,167600.0,1,1
c:12378,Company,Karo Internet,karo internet,games_video,closed,2007-04-01,2012-01-01,0,0,3,1204795.0,2,1
c:1238,Company,Upcoming,upcoming,web,acquired,2003-09-01,2013-04-30,0,0,0,0.0,5,4
c:12444,Company,For Your Imagination,for your imagination,games_video,closed,2007-01-15,2010-02-03,0,0,1,1300000.0,1,7
c:1247,Company,Excite@Home,excite home,search,acquired,1995-12-01,2001-09-01,0,0,0,0.0,2,60
c:125,Company,Zooomr,zooomr,web,closed,2006-03-01,2006-01-01,0,0,1,50000.0,0,2
c:12512,Company,Sonichall,sonichall,games_video,closed,2008-05-01,2009-11-01,0,0,0,0.0,0,1
c:1253,Company,Faves,faves,web,closed,2004-12-01,2011-12-31,0,0,1,1500000.0,0,4
c:12610,Company,Pumant,pumant,software,closed,2005-08-11,2012-01-04,0,0,1,1200000.0,0,0
c:12620,Company,Tyfish,tyfish,mobile,closed,2007-11-08,2012-08-18,0,0,0,0.0,0,2
c:12630,Company,Goodmail Systems,goodmail systems,security,closed,2003-01-01,2012-01-01,0,0,4,45000000.0,2,16
c:12636,Company,Mogees,mogees,mobile,closed,2008-01-01,2009-07-01,0,0,0,0.0,1,0
c:12711,Company,maufait,maufait,mobile,closed,2007-08-01,2011-02-24,0,0,1,25000.0,0,2
c:12747,Company,QikCom,qikcom,enterprise,closed,2008-01-01,2009-02-23,0,0,0,0.0,2,1
c:12783,Company,Tidalwave Trader,tidalwave trader,web,closed,2008-01-01,2011-03-29,0,0,1,200000.0,2,3
c:12785,Company,Virtual Telephone & Telegraph,virtual telephone telegraph,enterprise,closed,2006-04-01,2012-09-10,0,0,1,3500000.0,0,3
c:127903,Company,Orgger,orgger,web,closed,2011-04-01,2013-06-01,0,0,1,150000.0,0,1
c:12830,Company,TasteSpace,tastespace,web,closed,2007-01-01,2010-01-01,0,0,1,300000.0,0,0
c:12831,Company,Dolphin Geeks,dolphin geeks,network_hosting,closed,2005-07-16,2012-04-03,0,0,1,0.0,0,0
c:1284,Company,Minekey,minekey,web,closed,2005-01-01,2012-08-18,0,0,2,3600000.0,3,10
c:12873,Company,Star Fever Agency,star fever agency,games_video,closed,2009-02-28,2011-11-14,0,0,2,550000.0,0,0
c:13006,Company,Newmerix,newmerix,software,closed,2002-01-01,2008-10-29,0,0,1,7000000.0,1,3
c:13049,Company,Qoof,qoof,ecommerce,closed,2006-02-01,2013-04-02,0,0,1,1700000.0,2,3
c:1305,Company,Needium,needium,enterprise,closed,2010-01-01,2012-07-16,0,0,1,1000000.0,2,5
c:13083,Company,Mindity,mindity,web,closed,2005-12-01,2008-11-28,0,0,0,0.0,0,1
c:13085,Company,BlogRush,blogrush,advertising,closed,2007-11-01,2008-11-03,0,0,0,0.0,0,0
c:131124,Company,thankyouaga.in,thankyouaga in,web,closed,2011-08-01,2012-08-01,0,0,0,0.0,2,3
c:13128,Company,LiveBuzz,livebuzz,mobile,closed,2008-04-01,2010-02-17,0,0,1,50000.0,0,1
c:13149,Company,Salespush.com,salespush,enterprise,closed,2008-04-01,2012-06-30,0,0,2,290000.0,0,4
c:131583,Company,CV Ingenuity,cv ingenuity,medical,closed,2008-01-01,2013-07-01,0,0,3,30926154.0,0,2
c:13162,Company,mangofizz jobs,mangofizz jobs,web,closed,2007-01-01,2010-06-01,0,0,1,300000.0,0,2
c:13215,Company,Zadby,zadby,games_video,closed,2002-01-01,2011-05-21,0,0,1,0.0,0,2
c:13241,Company,iKobo,ikobo,web,closed,2001-01-01,2008-11-07,0,0,0,0.0,2,3
c:13274,Company,kidthing,kidthing,ecommerce,closed,2005-12-01,2012-04-18,0,0,1,3000000.0,0,1
c:13277,Company,GetBack,getback,web,closed,2007-09-01,2010-11-22,0,0,1,1700000.0,1,1
c:13290,Company,HourVille,hourville,games_video,closed,2008-01-01,2011-10-05,0,0,1,0.0,1,4
c:13358,Company,Q-magic,q magic,public_relations,closed,2007-02-01,2011-11-29,0,0,1,650000.0,0,3
c:13410,Company,GlobalCrypto,globalcrypto,software,closed,2006-06-01,2012-07-06,0,0,2,1000000.0,0,0
c:134280,Company,VIAP,viap,software,closed,2010-08-01,2012-02-01,0,0,2,850000.0,1,3
c:13504,Company,Planet Metrics,planet metrics,cleantech,closed,2007-01-01,2011-02-07,0,0,1,2300000.0,2,2
c:13512,Company,Illumix Software,illumix software,software,closed,2008-04-01,2012-07-02,0,0,1,3000000.0,0,2
c:13544,Company,Easy Bill Online,easy bill online,public_relations,closed,2003-01-09,2012-11-24,0,0,1,100000.0,0,4
c:13567,Company,pickrset,pickrset,games_video,closed,2007-06-01,2012-04-19,0,0,1,100000.0,0,0
c:136461,Company,Avantra Biosciences,avantra biosciences,biotech,closed,2010-01-01,2012-05-01,0,0,1,8000000.0,0,2
