age,funding_total_usd,status
19.0,39750000.0,operating
16.0,0.0,operating
16.0,0.0,operating
17.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
17.0,0.0,operating
16.0,0.0,operating
17.0,5000000.0,acquired
17.0,0.0,operating
16.0,0.0,operating
2.0,0.0,closed
16.0,0.0,operating
16.0,0.0,acquired
17.0,68069200.0,operating
21.0,10125293.0,operating
13.0,0.0,operating
15.0,0.0,operating
18.0,33000000.0,operating
13.0,0.0,operating
21.0,250000.0,operating
16.0,0.0,operating
15.0,0.0,operating
12.0,0.0,operating
14.0,100000.0,operating
19.0,0.0,operating
20.0,0.0,operating
18.0,11300000.0,operating
16.0,0.0,operating
20.0,0.0,operating
18.0,0.0,operating
18.0,414840.0,operating
13.0,0.0,operating
16.0,0.0,operating
20.0,1500000.0,operating
16.0,0.0,operating
17.0,0.0,operating
18.0,2500000.0,operating
13.0,0.0,operating
17.0,0.0,operating
18.0,0.0,operating
20.0,0.0,operating
16.0,0.0,operating
41.0,0.0,operating
16.0,0.0,operating
17.0,0.0,operating
23.0,0.0,operating
22.0,0.0,operating
16.0,0.0,operating
38.0,0.0,acquired
20.0,0.0,operating
19.0,121500000.0,acquired
16.0,0.0,operating
17.0,0.0,operating
16.0,0.0,operating
26.0,0.0,operating
4.0,0.0,closed
13.0,40000.0,operating
20.0,0.0,operating
28.0,840000.0,operating
16.0,0.0,operating
21.0,95097200.0,operating
17.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
14.0,0.0,operating
26.0,0.0,acquired
26.0,0.0,operating
17.0,350000.0,operating
15.0,559522.0,operating
17.0,0.0,operating
21.0,0.0,operating
18.0,0.0,operating
16.0,0.0,operating
27.0,0.0,operating
46.0,0.0,operating
20.0,0.0,operating
16.0,3100000.0,operating
11.0,0.0,operating
26.0,0.0,operating
14.0,0.0,operating
13.0,0.0,operating
17.0,0.0,operating
13.0,0.0,operating
25.0,0.0,operating
46.0,0.0,operating
5.0,100000.0,closed
16.0,0.0,operating
24.0,45000.0,operating
20.0,3933515.0,operating
23.0,0.0,operating
18.0,0.0,operating
17.0,280000.0,operating
18.0,0.0,operating
4.0,5000000.0,closed
18.0,46400000.0,operating
17.0,0.0,operating
2.0,0.0,closed
16.0,0.0,operating
14.0,182500.0,operating
16.0,0.0,ipo
13.0,0.0,operating
16.0,0.0,operating
17.0,0.0,operating
17.0,0.0,operating
17.0,0.0,operating
16.0,4815940.0,operating
23.0,0.0,operating
16.0,16000000.0,operating
18.0,0.0,operating
16.0,0.0,operating
14.0,0.0,operating
7.0,1613875.0,closed
22.0,0.0,acquired
53.0,0.0,operating
25.0,30772029.0,operating
19.0,0.0,operating
17.0,0.0,operating
16.0,0.0,operating
45.0,0.0,operating
26.0,0.0,operating
16.0,0.0,operating
15.0,720000.0,operating
16.0,0.0,operating
17.0,4350000.0,operating
23.0,0.0,operating
13.0,4000000.0,acquired
13.0,3268000.0,operating
27.0,8500000.0,operating
13.0,0.0,operating
13.0,0.0,operating
17.0,0.0,operating
13.0,250000.0,acquired
13.0,0.0,operating
16.0,1310000.0,acquired
23.0,0.0,operating
25.0,44925050.0,acquired
27.0,0.0,acquired
16.0,0.0,operating
17.0,0.0,operating
13.0,0.0,acquired
13.0,0.0,operating
16.0,0.0,operating
16.0,800000.0,operating
16.0,0.0,operating
14.0,0.0,operating
22.0,0.0,operating
14.0,0.0,operating
17.0,0.0,operating
23.0,0.0,operating
23.0,10200000.0,operating
17.0,0.0,operating
21.0,0.0,operating
4.0,205000.0,closed
16.0,13800000.0,operating
1.0,0.0,closed
16.0,1000000.0,operating
17.0,15286415.0,acquired
17.0,27000000.0,operating
16.0,0.0,operating
19.0,37570663.0,operating
19.0,0.0,operating
16.0,0.0,operating
15.0,3500000.0,operating
22.0,0.0,operating
22.0,0.0,operating
55.0,0.0,ipo
16.0,0.0,operating
18.0,0.0,acquired
14.0,0.0,operating
18.0,230000.0,operating
3.0,375000.0,closed
15.0,450000.0,operating
16.0,142000000.0,acquired
15.0,0.0,operating
16.0,0.0,operating
17.0,14229998.0,acquired
13.0,0.0,operating
17.0,0.0,operating
17.0,500000.0,operating
13.0,0.0,operating
17.0,0.0,operating
18.0,0.0,operating
13.0,100000.0,operating
15.0,0.0,operating
20.0,0.0,operating
37.0,0.0,operating
2.0,15000.0,closed
17.0,0.0,operating
53.0,0.0,operating
17.0,0.0,operating
19.0,0.0,operating
16.0,27100000.0,operating
18.0,57735800.0,operating
18.0,0.0,operating
26.0,0.0,operating
21.0,0.0,operating
18.0,0.0,operating
23.0,0.0,operating
23.0,0.0,operating
13.0,0.0,operating
4.0,0.0,closed
13.0,0.0,acquired
13.0,0.0,operating
19.0,0.0,operating
33.0,0.0,operating
16.0,0.0,operating
21.0,24300000.0,acquired
13.0,0.0,operating
17.0,1750000.0,acquired
25.0,17900000.0,operating
22.0,13900000.0,acquired
13.0,0.0,operating
17.0,0.0,acquired
22.0,0.0,operating
20.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
15.0,0.0,operating
22.0,0.0,operating
24.0,0.0,operating
6.0,0.0,closed
14.0,0.0,operating
22.0,0.0,operating
14.0,0.0,operating
16.0,0.0,acquired
17.0,0.0,operating
16.0,0.0,operating
17.0,0.0,operating
13.0,0.0,operating
15.0,0.0,operating
15.0,0.0,operating
19.0,0.0,operating
13.0,0.0,operating
4.0,0.0,closed
20.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
22.0,0.0,operating
17.0,150000.0,operating
15.0,0.0,operating
17.0,0.0,operating
25.0,0.0,operating
13.0,0.0,operating
17.0,0.0,operating
14.0,0.0,operating
15.0,0.0,operating
94.0,0.0,acquired
27.0,0.0,operating
13.0,75000.0,operating
24.0,0.0,operating
13.0,0.0,operating
27.0,41000000.0,acquired
3.0,3000000.0,closed
17.0,8829914.0,operating
17.0,0.0,operating
16.0,0.0,operating
13.0,27200000.0,operating
17.0,0.0,operating
24.0,16000000.0,operating
21.0,0.0,operating
26.0,0.0,operating
22.0,0.0,operating
24.0,60000000.0,operating
22.0,0.0,operating
25.0,0.0,operating
17.0,1100000.0,acquired
13.0,0.0,operating
28.0,33521974.0,acquired
44.0,0.0,operating
21.0,0.0,operating
24.0,12322500.0,operating
40.0,0.0,operating
17.0,0.0,operating
14.0,0.0,operating
14.0,0.0,operating
20.0,0.0,operating
23.0,0.0,operating
23.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
14.0,0.0,operating
22.0,0.0,operating
38.0,0.0,acquired
17.0,0.0,operating
19.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
18.0,0.0,operating
19.0,351600000.0,operating
17.0,225000.0,acquired
31.0,0.0,operating
16.0,0.0,operating
14.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
25.0,0.0,operating
22.0,0.0,operating
13.0,26752221.0,operating
16.0,50000.0,operating
15.0,0.0,operating
17.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
22.0,14734000.0,operating
43.0,0.0,operating
27.0,0.0,operating
37.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
13.0,1200000.0,acquired
24.0,0.0,operating
13.0,0.0,operating
20.0,0.0,operating
3.0,0.0,closed
17.0,0.0,operating
16.0,0.0,operating
37.0,0.0,operating
17.0,0.0,operating
24.0,0.0,operating
2.0,138000.0,closed
16.0,0.0,operating
2.0,0.0,closed
13.0,0.0,operating
13.0,0.0,operating
16.0,1300000.0,operating
13.0,0.0,operating
15.0,0.0,operating
29.0,0.0,operating
17.0,0.0,operating
42.0,0.0,acquired
17.0,18000000.0,operating
19.0,0.0,acquired
13.0,0.0,operating
18.0,0.0,operating
4.0,150000.0,closed
16.0,0.0,operating
57.0,0.0,operating
19.0,0.0,operating
16.0,3000000.0,operating
13.0,0.0,operating
19.0,0.0,operating
17.0,0.0,operating
16.0,0.0,operating
13.0,5395000.0,operating
17.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
2.0,21189.0,closed
13.0,0.0,operating
25.0,0.0,operating
19.0,0.0,operating
18.0,80512816.0,operating
16.0,0.0,operating
17.0,0.0,operating
13.0,0.0,operating
20.0,0.0,operating
16.0,0.0,operating
13.0,1835000.0,operating
18.0,0.0,operating
26.0,1000000.0,operating
17.0,0.0,operating
13.0,895000.0,operating
13.0,0.0,operating
17.0,0.0,operating
13.0,0.0,operating
13.0,0.0,acquired
21.0,0.0,operating
16.0,0.0,operating
17.0,0.0,operating
21.0,0.0,acquired
21.0,4750000.0,operating
21.0,0.0,operating
19.0,0.0,operating
28.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
17.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
17.0,0.0,operating
13.0,0.0,operating
13.0,155000.0,operating
13.0,0.0,operating
21.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
28.0,0.0,operating
13.0,0.0,operating
17.0,1682618.0,operating
17.0,0.0,operating
21.0,0.0,operating
13.0,0.0,operating
28.0,0.0,operating
25.0,0.0,acquired
17.0,3242399.0,operating
21.0,0.0,operating
17.0,0.0,operating
22.0,0.0,operating
25.0,0.0,operating
16.0,0.0,operating
19.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
15.0,0.0,operating
19.0,0.0,operating
17.0,0.0,operating
14.0,0.0,operating
19.0,0.0,operating
13.0,0.0,operating
23.0,0.0,operating
76.0,0.0,operating
20.0,1616176.0,operating
15.0,0.0,operating
19.0,0.0,operating
23.0,0.0,operating
15.0,0.0,operating
14.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
16.0,29540000.0,operating
14.0,0.0,operating
15.0,0.0,operating
5.0,50000.0,closed
17.0,0.0,operating
14.0,2475000.0,operating
17.0,60000000.0,operating
19.0,0.0,operating
13.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
28.0,0.0,operating
39.0,0.0,operating
14.0,0.0,operating
20.0,0.0,operating
18.0,0.0,operating
13.0,0.0,operating
17.0,0.0,operating
17.0,0.0,operating
16.0,952578.0,operating
13.0,0.0,operating
18.0,13250000.0,acquired
23.0,0.0,acquired
16.0,509412.0,acquired
13.0,0.0,operating
13.0,0.0,operating
18.0,0.0,operating
18.0,7385500.0,operating
13.0,0.0,operating
13.0,0.0,operating
6.0,12100000.0,closed
13.0,0.0,operating
13.0,0.0,operating
23.0,0.0,operating
19.0,25830908.0,operating
13.0,0.0,operating
16.0,0.0,operating
13.0,0.0,operating
24.0,0.0,operating
17.0,0.0,operating
14.0,0.0,operating
25.0,0.0,operating
14.0,0.0,operating
25.0,0.0,operating
13.0,0.0,operating
16.0,109018.0,operating
13.0,0.0,operating
18.0,0.0,operating
13.0,0.0,operating
16.0,0.0,operating
15.0,0.0,operating
13.0,0.0,operating
12.0,1700000.0,operating
6.0,0.0,closed
14.0,0.0,operating
19.0,0.0,operating
18.0,0.0,operating
15.0,0.0,operating
13.0,19500000.0,operating
17.0,0.0,operating
17.0,0.0,operating
13.0,900000.0,operating
13.0,0.0,operating
13.0,0.0,operating
