year,raised_amount_usd
1960.0,52736030.0
1973.0,0.0
1974.0,0.0
1984.0,141000.0
1985.0,0.0
1987.0,2500000.0
1989.0,15000.0
1990.0,1000000.0
1992.0,2000000.0
1993.0,125000.0
1994.0,13400000.0
1995.0,17300000.0
1996.0,13542500.0
1997.0,64620000.0
1998.0,153138990.0
1999.0,563938371.0
2000.0,1435688690.0
2001.0,841105790.0
2002.0,908998723.0
2003.0,910282919.0
2004.0,2209750863.0
2005.0,15227523410.0
2006.0,20472795474.0
2007.0,29285058516.0
2008.0,38463867954.0
2009.0,36506561542.0
2010.0,48210584017.0
2011.0,66696224605.0
2012.0,63927965790.0
2013.0,93749768761.0
